RAMAS,TITULACIÓN,Hombres,Mujeres,TOTAL
ARTES Y HUMANIDADES,GRADUADO/A EN ARQUEOLOGÍA,63,99,162
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,352,684,1036
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,57,164,221
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,49,172,221
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,179,509,688
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,55,100,155
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA CLÁSICA,37,85,122
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA HISPÁNICA,107,408,515
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFÍA,185,106,291
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,417,205,622
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,171,337,508
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,142,110,252
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,99,334,433
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,54,115,169
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,309,1162,1471
CIENCIAS EXPERIMENTALES,GRADUADO/A EN BIOLOGÍA,436,651,1087
CIENCIAS EXPERIMENTALES,GRADUADO/A EN BIOQUÍMICA,84,136,220
CIENCIAS EXPERIMENTALES,GRADUADO/A EN BIOTECNOLOGÍA,38,66,104
CIENCIAS EXPERIMENTALES,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,80,180,260
CIENCIAS EXPERIMENTALES,GRADUADO/A EN CIENCIAS AMBIENTALES,309,258,567
CIENCIAS EXPERIMENTALES,GRADUADO/A EN ESTADÍSTICA,91,68,159
CIENCIAS EXPERIMENTALES,GRADUADO/A EN FÍSICA,315,107,422
CIENCIAS EXPERIMENTALES,GRADUADO/A EN GEOLOGÍA,150,94,244
CIENCIAS EXPERIMENTALES,GRADUADO/A EN MATEMÁTICAS,208,184,392
